DATE,DEPT1_SALES,DEPT2_SALES,DEPT3_SALES,DEPT4_SALES,DEPT5_SALES,DEPT6_SALES,DEPT7_SALES,DEPT8_SALES,DEPT9_SALES,DEPT10_SALES,DEPT11_SALES,DEPT12_SALES,DEPT13_SALES,DEPT14_SALES,DEPT15_SALES,DEPT16_SALES,DEPT17_SALES,DEPT18_SALES,DEPT19_SALES,DEPT20_SALES,DEPT21_SALES,DEPT22_SALES,DEPT23_SALES,DEPT24_SALES,DEPT25_SALES,DEPT26_SALES,DEPT27_SALES,DEPT28_SALES,DEPT29_SALES,DEPT30_SALES,DEPT31_SALES,DEPT32_SALES,DEPT33_SALES,DEPT34_SALES,DEPT35_SALES,DEPT36_SALES,DEPT37_SALES,DEPT38_SALES,DEPT39_SALES,DEPT40_SALES,DEPT41_SALES,DEPT42_SALES,DEPT43_SALES,DEPT44_SALES,DEPT45_SALES,DEPT46_SALES,DEPT47_SALES,DEPT48_SALES,DEPT49_SALES,DEPT50_SALES,DEPT51_SALES,DEPT52_SALES,DEPT53_SALES,DEPT54_SALES,DEPT55_SALES,DEPT56_SALES,DEPT57_SALES,DEPT58_SALES,DEPT59_SALES,DEPT60_SALES,DEPT61_SALES,DEPT62_SALES,DEPT63_SALES,DEPT64_SALES,DEPT65_SALES,DEPT66_SALES,DEPT67_SALES,DEPT68_SALES,DEPT69_SALES,DEPT70_SALES,DEPT71_SALES,DEPT72_SALES,DEPT73_SALES,DEPT74_SALES,DEPT75_SALES,DEPT76_SALES,DEPT77_SALES,DEPT78_SALES,DEPT79_SALES,DEPT80_SALES,DEPT81_SALES,DEPT82_SALES,DEPT83_SALES,DEPT84_SALES,DEPT85_SALES,DEPT86_SALES,DEPT87_SALES,DEPT88_SALES,DEPT89_SALES,DEPT90_SALES,DEPT91_SALES,DEPT92_SALES,DEPT93_SALES,DEPT94_SALES,DEPT95_SALES,DEPT96_SALES,DEPT97_SALES,DEPT98_SALES,DEPT99_SALES,_LINEAR_
"Fri, 26 Oct 2012",17417,45086,8472,16549,14561,1721,18901,16066,14822,12539,10171,2476,25437,12839,0,1354,5776,12669,2069,4429,2994,7965,33725,9739,16776,11819,2575,735.86,5058,4318,3668,4805,9099,18124,2191,1376,0,29892,0,38643,3607,5704,0,5535,0,16432,0,0,11692,0,0,2975,0,0,5374,398.79,0,640,192.5,135,0,0,0,0,0,0,5009,0,0,0,3879,28988,0,9258,0,0,0,0,18356,10.97,6088,14190,132.38,0,789.78,0,5649,0,0,11201,6273,24871,499.9,523.25,36753,0,3158,28.12,0,143
"Fri, 2 Nov 2012",25054,45941,9220,16655,16285,3185,18409,16589,14880,12782,10295,2697,25864,13463,0,1349,6703,8692,1894,4734,2978,8409,41511,9812,17279,13456,2227,733.4133,5069,4010,4042,5548,8371,18577,2067,3055,0,28756,0,37433,3113,5607,0,4201,0.1202,18693,2.9858,0,10111,0.0699,0.1413,2349,0,-1.9794,6925,419.3797,0,725.7945,764.5185,198.5204,0,0,0,0,0,0,4216,0,0,0,3878,36629,0,9568,0,0,4.5594,0.000318,18750,44.8432,6036,13668,138.0038,0,844.7194,0,6833,0,0,10914,6393,26285,658.0876,0.1335,36782,0.014,3207,54.0301,2.0301,144
"Fri, 9 Nov 2012",11747,47712,10641,16655,19025,3379,21977,16559,14333,12806,10354,2696,25864,13394,0,1344,7070,6911,1895,4011,2978,8137,38289,8900,17261,14399,2182,730.9666,5424,3745,3877,5803,9421,18667,2067,2752,0,28486,0,37417,3113,5617,0,4797,0.1202,17490,2.9858,0,10111,0.0699,0.1413,2351,0,-3.9019,13603,242.8742,0,720.0643,1132,198.5204,0,0,0,0,0,0,4203,0,0,0,3878,41369,0,10716,0,0,4.5594,0.000318,18750,45.1639,6050,15356,136.5012,0,844.7194,0,6833,0,0,10918,6393,26775,658.1541,32.4847,36811,0.014,3209,54.0301,2.0301,145
"Fri, 16 Nov 2012",12046,48437,10010,16655,16705,4451,23535,17085,11512,12830,10413,2694,25864,16701,0,1340,7807,12503,1897,4793,2978,8692,40740,8237,18115,13857,2068,728.5199,5704,4262,3818,5491,8974,19102,2067,2705,0,28216,0,37401,3113,5627,0,4703,0.1202,17313,2.9858,0,10111,0.0699,0.1413,2354,0,-5.8244,10180,500.9207,0,714.3341,1315,198.5204,0,0,0,0,0,0,4658,0,0,0,3878,37921,0,8992,0,0,4.5594,0.000318,18750,45.4847,6064,14135,134.9986,0,844.7194,0,6833,0,0,10921,6393,28283,658.2205,240.3919,36840,0.014,3211,54.0301,2.0301,146
"Fri, 23 Nov 2012",12319,52043,9416,16655,60978,10413,63781,17034,19997,12854,10472,2693,25864,37628,0,1335,11149,33163,1898,7466,2978,14853,57573,17706,22336,20526,2630,726.0732,7433,4233,4844,8536,16288,24928,2067,4401,0,27946,0,37385,3113,5637,0,6125,0.1202,19693,2.9858,0,10111,0.0699,0.1413,2356,0,-7.7469,24278,1786,0,708.6039,1459,198.5204,0,0,0,0,0,0,4232,0,0,0,3878,243697,0,19396,0,0,4.5594,0.000318,18750,45.8055,6077,16799,133.496,0,844.7194,0,6833,0,0,10925,6393,29869,658.287,202.985,36868,0.014,3213,54.0301,2.0301,147
"Fri, 30 Nov 2012",14940,45749,10719,16655,21511,1622,42012,16536,11800,12878,10532,2692,25864,16439,0,1330,7687,45723,1899,4392,2978,8652,39433,10563,16127,11156,2523,723.6265,6026,3260,4715,5260,10786,18127,2067,3843,0,27676,0,37369,3113,5647,0,5232,0.1202,19173,2.9858,0,10111,0.0699,0.1413,2358,0,-9.6694,9898,3278,0,702.8737,1965,198.5204,0,0,0,0,0,0,4066,0,0,0,3878,47927,0,9198,0,0,4.5594,0.000318,18750,46.1263,6091,16548,131.9934,0,844.7194,0,6833,0,0,10928,6393,23633,658.3535,43.9968,36897,0.014,3215,54.0301,2.0301,148
"Fri, 7 Dec 2012",20106,46743,12136,16655,29803,3359,63807,17736,12920,12902,10592,2691,25864,22204,0,1325,7162,41835,1900,4755,2978,11761,50934,15076,18504,13254,3252,721.1799,7365,3457,6773,7718,13526,21883,2067,5652,0,27406,0,37353,3113,5657,0,6579,0.1202,22026,2.9858,0,10111,0.0699,0.1413,2361,0,-11.5919,10725,3635,0,697.1435,3302,198.5204,0,0,0,0,0,0,5954,0,0,0,3878,46818,0,10328,0,0,4.5594,0.000318,18750,46.4471,6105,20987,130.4909,0,844.7194,0,6833,0,0,10932,6393,26338,658.42,450.2539,36926,0.014,3217,54.0301,2.0301,149
"Fri, 14 Dec 2012",30616,64139,13873,16655,49849,4983,99705,18805,16155,12926,10653,2689,25864,24535,0,1320,11226,31321,1902,5027,2978,13442,57670,14867,19902,16375,4146,718.7332,8421,3651,7420,11706,16130,22644,2067,5127,0,27136,0,37337,3113,5667,0,7012,0.1202,30215,2.9858,0,10111,0.0699,0.1413,2363,0,-13.5145,17729,2505,0,691.4133,8519,198.5204,0,0,0,0,0,0,9975,0,0,0,3878,58368,0,10261,0,0,4.5594,0.000318,18750,46.7679,6119,27707,128.9883,0,844.7194,0,6833,0,0,10935,6393,26357,658.4864,705.0781,36955,0.014,3220,54.0301,2.0301,150
"Fri, 21 Dec 2012",30917,67401,14063,16655,80260,4419,204643,22626,23289,12951,10713,2688,25864,42757,0,1315,12628,23162,1903,5944,2978,18594,82558,19566,27443,25046,4917,716.2865,13666,5306,9487,28737,22237,30765,2067,6890,0,26867,0,37321,3113,5677,0,7184,0.1202,42846,2.9858,0,10111,0.0699,0.1413,2365,0,-15.437,33959,579.1539,0,685.6831,12789,198.5204,0,0,0,0,0,0,16339,0,0,0,3878,106472,0,13604,0,0,4.5594,0.000318,18750,47.0886,6132,48881,127.4857,0,844.7194,0,6833,0,0,10939,6393,26228,658.5529,203.74,36983,0.014,3222,54.0301,2.0301,151
"Fri, 28 Dec 2012",11310,43732,8128,16655,22068,7334,26831,14782,12949,12975,10775,2687,25864,19270,0,1310,10045,10788,1904,4511,2978,10188,39557,8042,14200,7672,2558,713.8398,6093,3612,3989,7571,8014,16862,2067,2358,0,26597,0,37305,3113,5687,0,3303,0.1202,22594,2.9858,0,10111,0.0699,0.1413,2368,0,-17.3595,13699,43.9217,0,679.9529,5507,198.5204,0,0,0,0,0,0,6336,0,0,0,3878,41833,0,12623,0,0,4.5594,0.000318,18750,47.4094,6146,18104,125.9831,0,844.7194,0,6833,0,0,10942,6393,20572,658.6194,148.8137,37012,0.014,3224,54.0301,2.0301,152
