@relation 43_98

@attribute Store numeric
@attribute Dept numeric
@attribute Date date 'yyyy-MM-dd'
@attribute Weekly_Sales numeric
@attribute IsHoliday {FALSE,TRUE}

@data
43,98,2010-02-05,9601.83,FALSE
43,98,2010-02-12,14192.25,TRUE
43,98,2010-02-19,9997.33,FALSE
43,98,2010-02-26,8953.85,FALSE
43,98,2010-03-05,9318,FALSE
43,98,2010-03-12,9205.6,FALSE
43,98,2010-03-19,10373.85,FALSE
43,98,2010-03-26,9371.09,FALSE
43,98,2010-04-02,11490.28,FALSE
43,98,2010-04-09,10903.18,FALSE
43,98,2010-04-16,9578.35,FALSE
43,98,2010-04-23,10089.61,FALSE
43,98,2010-04-30,9408.22,FALSE
43,98,2010-05-07,10903.31,FALSE
43,98,2010-05-14,11489.98,FALSE
43,98,2010-05-21,9601.08,FALSE
43,98,2010-05-28,9468.7,FALSE
43,98,2010-06-04,10593.96,FALSE
43,98,2010-06-11,9514.43,FALSE
43,98,2010-06-18,9386.17,FALSE
43,98,2010-06-25,10437.44,FALSE
43,98,2010-07-02,9332.89,FALSE
43,98,2010-07-09,10638.54,FALSE
43,98,2010-07-16,9858,FALSE
43,98,2010-07-23,9583.19,FALSE
43,98,2010-07-30,9078.87,FALSE
43,98,2010-08-06,9197.2,FALSE
43,98,2010-08-13,9976.1,FALSE
43,98,2010-08-20,9299.07,FALSE
43,98,2010-08-27,9379.99,FALSE
43,98,2010-09-03,9332.2,FALSE
43,98,2010-09-10,10570.04,TRUE
43,98,2010-09-17,10781.62,FALSE
43,98,2010-09-24,9836.98,FALSE
43,98,2010-10-01,10068.32,FALSE
43,98,2010-10-08,10561.35,FALSE
43,98,2010-10-15,10980.47,FALSE
43,98,2010-10-22,12088.32,FALSE
43,98,2010-10-29,10432.53,FALSE
43,98,2010-11-05,8663,FALSE
43,98,2010-11-12,10098.44,FALSE
43,98,2010-11-19,12795.2,FALSE
43,98,2010-11-26,22329.99,TRUE
43,98,2010-12-03,9186.17,FALSE
43,98,2010-12-10,10760.24,FALSE
43,98,2010-12-17,13314.61,FALSE
