@relation 16_94

@attribute Store numeric
@attribute Dept numeric
@attribute Date date 'yyyy-MM-dd'
@attribute Weekly_Sales numeric
@attribute IsHoliday {FALSE,TRUE}

@data
16,94,2010-02-05,5.88,FALSE
16,94,2010-02-12,13.72,TRUE
16,94,2010-02-19,1068.53,FALSE
16,94,2010-02-26,30.61,FALSE
16,94,2010-03-05,4.9,FALSE
16,94,2010-03-12,5.88,FALSE
16,94,2010-03-19,26.46,FALSE
16,94,2010-03-26,13.72,FALSE
16,94,2010-04-02,17.64,FALSE
16,94,2010-04-09,14.13,FALSE
16,94,2010-04-16,16.78,FALSE
16,94,2010-04-30,6.86,FALSE
16,94,2010-05-07,219.28,FALSE
16,94,2010-05-14,684.99,FALSE
16,94,2010-05-21,7.84,FALSE
16,94,2010-05-28,10.78,FALSE
16,94,2010-06-04,9.8,FALSE
16,94,2010-06-11,9.8,FALSE
16,94,2010-06-25,3.92,FALSE
16,94,2010-07-02,479.22,FALSE
16,94,2010-07-09,610.94,FALSE
16,94,2010-07-16,35.96,FALSE
16,94,2010-07-23,8.82,FALSE
16,94,2010-07-30,22.72,FALSE
16,94,2010-08-06,4.31,FALSE
16,94,2010-08-13,6.86,FALSE
16,94,2010-08-27,0.98,FALSE
16,94,2010-09-03,11.93,FALSE
16,94,2010-09-10,-4.1,TRUE
16,94,2010-09-17,7.14,FALSE
16,94,2010-09-24,23.26,FALSE
16,94,2010-10-01,18.96,FALSE
16,94,2010-10-08,318.72,FALSE
16,94,2010-10-15,1016.66,FALSE
16,94,2010-10-22,1280.4,FALSE
16,94,2010-10-29,744.96,FALSE
16,94,2010-12-03,0.5,FALSE
16,94,2011-02-18,1510,FALSE
16,94,2011-02-25,30,FALSE
16,94,2011-03-11,-3.98,FALSE
16,94,2011-03-18,14.64,FALSE
16,94,2011-05-13,970,FALSE
16,94,2011-05-20,35,FALSE
16,94,2011-05-27,0.44,FALSE
16,94,2011-06-03,426.8,FALSE
16,94,2011-06-10,27.16,FALSE
16,94,2011-06-17,-3.88,FALSE
16,94,2011-07-01,552.08,FALSE
16,94,2011-07-08,978.34,FALSE
16,94,2011-07-15,180.96,FALSE
16,94,2011-07-22,4.48,FALSE
16,94,2011-08-05,-4.88,FALSE
16,94,2011-10-07,501.14,FALSE
16,94,2011-10-14,765.06,FALSE
16,94,2011-10-21,977.76,FALSE
16,94,2011-10-28,1936.12,FALSE
16,94,2011-11-04,90.99,FALSE
16,94,2011-11-25,7.47,TRUE
16,94,2011-12-30,7.24,TRUE
16,94,2012-01-27,668.58,FALSE
16,94,2012-02-03,1163.52,FALSE
16,94,2012-02-10,643.47,TRUE
16,94,2012-02-17,1848.14,FALSE
16,94,2012-02-24,1283.67,FALSE
16,94,2012-03-02,1890.31,FALSE
16,94,2012-03-09,1590.94,FALSE
16,94,2012-03-16,1849.47,FALSE
16,94,2012-03-23,1651.92,FALSE
16,94,2012-03-30,1540.94,FALSE
16,94,2012-04-06,1695.01,FALSE
16,94,2012-04-13,1843.02,FALSE
16,94,2012-04-20,1331.51,FALSE
16,94,2012-04-27,1209.3,FALSE
16,94,2012-05-04,1193.28,FALSE
16,94,2012-05-11,1901.45,FALSE
16,94,2012-05-18,1884.16,FALSE
16,94,2012-05-25,1991.76,FALSE
16,94,2012-06-01,1486.13,FALSE
16,94,2012-06-08,2428.14,FALSE
16,94,2012-06-15,1370.76,FALSE
16,94,2012-06-22,1483.23,FALSE
16,94,2012-06-29,2159.01,FALSE
16,94,2012-07-06,3105.02,FALSE
16,94,2012-07-13,2004.45,FALSE
16,94,2012-07-20,1734.14,FALSE
16,94,2012-07-27,1232.39,FALSE
16,94,2012-08-03,838.54,FALSE
16,94,2012-08-10,31.03,FALSE
16,94,2012-08-31,35.5,FALSE
16,94,2012-09-07,31.54,TRUE
16,94,2012-09-14,59.32,FALSE
16,94,2012-09-21,235.04,FALSE
16,94,2012-09-28,257.2,FALSE
16,94,2012-10-05,419.54,FALSE
16,94,2012-10-12,571.36,FALSE
16,94,2012-10-19,1381.28,FALSE
16,94,2012-10-26,1501.48,FALSE
